"A" "C" "G" "H" "I" "L" "S" "V" "freqAR" "freqPR" "freqAlR" "freqCR" "freqPosR" "freqHR" "cluster"
"1" 0 0.0222222222222222 0.133333333333333 0.0222222222222222 0.0666666666666667 0.0888888888888889 0.0666666666666667 0.111111111111111 0.155555555555556 0.466666666666667 0.266666666666667 0.244444444444444 0.0888888888888889 0.711111111111111 "1"
"2" 0.0897435897435897 0 0.102564102564103 0.0769230769230769 0.0897435897435897 0.0256410256410256 0.0384615384615385 0.0897435897435897 0.192307692307692 0.448717948717949 0.205128205128205 0.217948717948718 0.153846153846154 0.756410256410256 "1"
"3" 0.0897435897435897 0 0.102564102564103 0.0769230769230769 0.0897435897435897 0.0256410256410256 0.0384615384615385 0.0897435897435897 0.192307692307692 0.448717948717949 0.205128205128205 0.217948717948718 0.153846153846154 0.756410256410256 "1"
"4" 0.06 0 0 0.06 0.06 0 0.06 0 0.14 0.7 0.06 0.36 0.12 0.44 "3"
"5" 0.0695652173913043 0.00869565217391304 0.208695652173913 0.0260869565217391 0.0608695652173913 0.11304347826087 0.0521739130434783 0.0869565217391304 0.0782608695652174 0.391304347826087 0.260869565217391 0.182608695652174 0.121739130434783 0.747826086956522 "1"
"6" 0.133333333333333 0 0.2 0 0.0666666666666667 0.1 0.0133333333333333 0.206666666666667 0.0666666666666667 0.266666666666667 0.373333333333333 0.113333333333333 0.0666666666666667 0.86 "4"
"7" 0.0789473684210526 0 0.0789473684210526 0.105263157894737 0.0789473684210526 0 0.0789473684210526 0.0263157894736842 0.105263157894737 0.736842105263158 0.105263157894737 0.394736842105263 0.263157894736842 0.605263157894737 "3"
"8" 0.107843137254902 0 0.0392156862745098 0 0.0686274509803922 0.127450980392157 0.00980392156862745 0.0686274509803922 0.127450980392157 0.362745098039216 0.264705882352941 0.225490196078431 0.0686274509803922 0.735294117647059 "2"
"9" 0.0978260869565217 0 0.119565217391304 0 0.141304347826087 0.0652173913043478 0.0108695652173913 0.130434782608696 0.0326086956521739 0.358695652173913 0.33695652173913 0.16304347826087 0.108695652173913 0.75 "4"
"10" 0.141414141414141 0.0505050505050505 0.0202020202020202 0 0.0404040404040404 0.0808080808080808 0.0909090909090909 0.181818181818182 0.0707070707070707 0.404040404040404 0.303030303030303 0.121212121212121 0.0505050505050505 0.646464646464647 "4"
"11" 0.105691056910569 0.0487804878048781 0.113821138211382 0.024390243902439 0.0487804878048781 0.0731707317073171 0.0813008130081301 0.186991869918699 0.0650406504065041 0.414634146341463 0.308943089430894 0.154471544715447 0.0894308943089431 0.747967479674797 "4"
"12" 0.1015625 0 0.1171875 0 0.046875 0.046875 0.1328125 0.1640625 0.09375 0.4296875 0.2578125 0.1484375 0.078125 0.6875 "1"
"13" 0.141666666666667 0 0.0833333333333333 0.00833333333333333 0.1 0.116666666666667 0.0333333333333333 0.125 0.0416666666666667 0.25 0.341666666666667 0.108333333333333 0.0833333333333333 0.775 "4"
"14" 0.0930232558139535 0.0348837209302326 0 0 0.0348837209302326 0.116279069767442 0.0348837209302326 0.104651162790698 0.104651162790698 0.616279069767442 0.255813953488372 0.255813953488372 0.116279069767442 0.709302325581395 "3"
"15" 0.1640625 0 0.125 0 0.125 0.0390625 0.046875 0.109375 0.03125 0.3671875 0.2734375 0.1171875 0.0390625 0.71875 "4"
